,alpha,delta,u,g,r,i,z,run_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
75721,16.9568897845004,3.64613008870454,23.33542,21.95143,20.48149,19.603,19.13094,7712,6,442,4.855016555329904e+18,GALAXY,0.5062369,4312,55511,495
80184,240.063240247767,6.13413059813973,17.86033,16.79228,16.43001,16.30923,16.25873,3894,1,243,2.4489280322708705e+18,STAR,0.0003448142,2175,54612,348
19864,30.887222067625,1.18870964120799,18.18911,16.89469,16.42161,16.24627,16.18549,7717,1,536,8.255357438959835e+18,STAR,4.085216e-06,7332,56683,943
76699,247.594400505002,10.8877797153666,24.99961,21.71203,21.47148,21.30532,21.29109,5323,1,134,4.5779987227562706e+18,STAR,-0.0002914838,4066,55444,326
92991,18.8964507920807,-5.26133022886992,23.76648,21.79737,20.69543,20.23403,19.97464,7881,3,148,8.91047176642785e+18,STAR,-0.0001361561,7914,57331,363
76434,182.713733094955,51.3758050594777,22.44608,21.68444,20.24292,19.41423,19.08227,2830,1,411,7.516725588574623e+18,QSO,0.5026683,6676,56389,792
84004,150.089423193165,39.4670880748061,18.96441,17.82906,17.31429,16.99891,16.85583,3560,4,278,1.5267956411104236e+18,GALAXY,0.06366445,1356,53033,274
80917,189.510984338851,58.7411197772507,21.37376,20.80187,20.84925,21.13449,20.34689,2243,1,353,7.696817897528907e+18,QSO,0.7936153,6836,56443,604
60767,37.7138728560977,-0.525138228146508,20.77988,19.54618,19.16687,18.89438,18.64286,2700,2,117,1.7553283123029217e+18,GALAXY,0.1060118,1559,53271,183
50074,201.074980072746,28.7699058867715,25.05349,22.23362,20.8122,19.69488,19.28336,4649,3,120,7.306035245308205e+18,GALAXY,0.567082,6489,56329,257
27701,151.83091832672,19.8108624669417,24.04443,22.48608,20.59701,19.50985,19.00457,5183,5,142,6.622787444780849e+18,GALAXY,0.5475619,5882,56029,888
42141,164.364389178099,64.7877852553783,22.98745,23.07199,21.15229,19.97391,19.17876,1302,6,319,7.999579699214046e+18,GALAXY,0.7592601,7105,56740,221
45080,242.830624949049,52.6659057609914,23.03347,23.60839,21.79315,20.79881,19.74832,1412,4,375,9.081519495399626e+18,GALAXY,0.680221,8066,57544,39
16638,22.9648494083052,0.876034964444952,25.62939,21.3913,19.98634,18.81294,18.13539,4263,6,269,1.2138278960580792e+18,STAR,-1.408066e-05,1078,52643,392
