spectr,magnitudo,mass,radius,temperature,metal,age,planet_type
G8 V,13.59,0.83,0.88,5560,-0.22,10.7,очень теплый гигант
G0,10.15,1.18,1.38,6025,0.1,4,горячий нептун
"M2,5 V",13.82,0.295,0.303,3395,-0.08,9.9,очень теплый нептун
"M2,5 V",12.74,0.43,0.428,3433,,7,очень теплая земля
M2 V,11.4,0.519,0.516,3556,-0.06,,очень теплая земля
M4 V,12.47,0.36,0.364,3347,0.11,,очень теплая земля
M4 V,12.47,0.36,0.364,3347,0.11,,теплый нептун
"M2,5 V",10.92,0.342,0.337,3505,-0.12,,очень теплая земля
M3.5 V,12.67,0.313,0.32,3384,-0.02,7.1,очень теплая земля
M3.5 V,12.67,0.313,0.32,3384,-0.02,7.1,теплый нептун
M2 V,9.65,0.426,0.426,3579,-0.09,,очень теплая земля
G8 V,13.24,0.95,0.952,5470,,,горячий гигант
G8,12.21,0.945,0.9,5300,0.29,4.4,горячий гигант
F7 V,10.42,1.18,1.33,6250,-0.08,1,горячий гигант
G9 V,12.56,0.886,0.923,5330,0.06,10.1,горячий гигант
F8,11.76,1.27,1.7,6280,-0.18,3.37,горячий гигант
G5 V,13.44,0.98,1.04,5449,0.27,8.2,горячий гигант
K0 V,14.07,0.89,0.89,5131,0.28,9.4,горячий гигант
G0,13.73,1.09,1.21,5956,0,4.67,горячий гигант
F8,10.91,1.3,1.43,6566,-0.08,2,горячий гигант
G0,14.02,1,1.44,6060,-0.39,7.7,горячий гигант
F,12.76,1.49,2.21,6408,-0.1,2.36,горячий гигант
G9 V,14.77,0.87,0.92,5311,0,11,горячий гигант
G3 V,13.83,0.97,1.24,5738,0.1,9.5,горячий гигант
G2 V,13.1,0.994,1.11,5715,0.02,7.5,горячий гигант
F9,12.96,1.3,2.04,6071,-0.02,4,горячий гигант
F6,12.77,1.415,1.74,6438,0.09,2.3,горячий гигант
G6 V,13.93,0.93,0.92,5498,0.01,6.2,горячий гигант
G4 V,12.61,1.03,1.07,5670,0.16,5.5,горячий гигант
G0 V,12.19,1.09,1.06,5943,0.06,2.3,горячий гигант
G0 V,14.39,1.135,1.186,5970,0.13,3.4,горячий гигант
K0 V,13.59,0.837,0.812,5099,0.05,8.6,горячий гигант
K0 V,14.43,0.86,0.847,5080,0.32,9.7,горячий гигант
F5 V,13.31,1.27,1.315,6450,0.02,1.52,горячий гигант
G8 V,13.63,0.917,0.85,5495,-0.06,3,горячий гигант
G6 V,13.91,1.05,1.23,5621,0.37,8,горячий гигант
M1 V,15.16,0.574,0.57,3724,0.2,8.1,очень теплый гигант
M0 V,15.97,0.601,0.576,3775,0.51,11,горячий гигант
M0 V,15.76,0.602,0.585,3790,0.52,14.9,очень теплый гигант
K7 V,15.79,0.662,0.626,4016,0.32,,горячий гигант
K7 V,16.35,0.655,0.643,4071,0.25,12.1,очень теплый гигант
G,13.28,1.03,1.5,5366,0.34,10.8,горячий гигант
F5 V,8.95,1.091,1.296,6327,-0.31,4.48,горячий нептун
G2 V,10.06,1,0.97,5732,0.14,4,горячая земля
G2 V,10.06,1,0.97,5732,0.14,4,горячий нептун
K0,8.81,1.145,1.09,5585,0.56,7.2,эксцентричный холодный гигант
G3 V,5.65,0.87,1.06,5664,-0.24,12.3,горячая земля
G3 V,5.65,0.87,1.06,5664,-0.24,12.3,очень теплый нептун
G3 V,5.65,0.87,1.06,5664,-0.24,12.3,теплый нептун
G0,8.85,1.15,1.43,6310,-0.16,3.97,горячий нептун
G0,8.85,1.15,1.43,6310,-0.16,3.97,очень теплый нептун
G2 V,8.68,1.03,0.98,5788,-0.02,2.6,очень теплый нептун
K4 V,7.46,0.77,0.79,4610,0.16,,очень теплый нептун
G5 V,8.74,0.9,1.13,5596,-0.07,11,горячая земля
K2.5 V,7.98,0.8,0.77,4819,0.1,0.52,очень теплый нептун
K0 III,6.51,1.25,5,4860,0.21,,очень теплый гигант
G0 V,8,1.07,1.101,5978,-0.04,3.8,горячая земля
G0 V,8,1.07,1.101,5978,-0.04,3.8,горячий нептун
K0 V,7.53,0.82,0.76,5103,-0.16,,очень теплый нептун
K0 IV,8.15,1.212,2.943,5080,-0.08,4.9,горячий гигант
K5 V,8.57,0.684,0.674,4385,-0.08,,очень теплая земля
F8 V,8.27,1.104,1.157,6040,-0.14,5,горячая земля
F8 V,8.27,1.104,1.157,6040,-0.14,5,горячий нептун
K4 V,9.72,0.67,0.71,4684,-0.2,,горячая земля
K4 V,9.72,0.67,0.71,4684,-0.2,,очень теплая земля
K4 V,9.72,0.67,0.71,4684,-0.2,,очень теплая земля
K4 V,9.72,0.67,0.71,4684,-0.2,,очень теплый нептун
K4 V,9.72,0.67,0.71,4684,-0.2,,очень теплая земля
M0 V,9.77,0.44,0.439,3803,-0.43,5,очень теплая земля
M0 V,9.77,0.44,0.439,3803,-0.43,5,очень теплая земля
K0 V,4.43,0.78,0.812,5072,-0.42,6.9,очень теплый нептун
G5 V,7.76,0.86,0.85,5560,-0.24,5.5,эксцентричный холодный гигант
K0 V,8.94,0.877,0.835,5286,0.03,5,горячая земля
K0 V,8.94,0.877,0.835,5286,0.03,5,очень теплый нептун
K0 V,8.94,0.877,0.835,5286,0.03,5,очень теплый нептун
F8 V,8.56,1.13,1.28,6089,0.04,4.3,очень теплый гигант
F8 V,8,1.126,1.194,6203,-0.12,3,горячий нептун
F8 V,8,1.126,1.194,6203,-0.12,3,очень теплый нептун
K0 III,1.15,1.47,9.3,4666,0.19,,очень теплый гигант
G5 V,6.91,0.99,0.912,5640,,0.414,горячий нептун
G5 V,6.91,0.99,0.912,5640,,0.414,очень теплый нептун
K4 V,9.67,0.701,0.68,4574,-0.05,0.8,очень теплый нептун
M0 V,7.05,0.64,0,4005,-0.03,4,теплый нептун
G2 V,9.45,1,1.22,6022,0.35,2.7,горячая земля
K4 V,11.13,0.781,0.724,4590,0.18,4.1,горячий гигант
G0 V,10.56,1.15,1.24,5945,0.22,0.75,горячий нептун
G6 V,12.24,1.01,0.95,5434,0.26,,горячий нептун
G5 V,12.1,0.945,0.87,5470,-0.03,,горячая земля
G5 V,12.1,0.945,0.87,5470,-0.03,,очень теплый нептун
